id,name,avatar_url,total_stake,own_stake,delegated_stake,allocated_stake,available_stake,number_of_allocations,number_of_subgraphs,query_fees_earned,indexing_rewards,total_rewards,is_active,is_underserving,is_suspicious,indexer_size,aer,qfr,aer_normalized,qfr_normalized,final_score,performance_flag,penalty,delegator_rewards,delegator_rewards_percentage
0x0058223c6617cca7ce76fc929ec9724cd43d4542,grassets-tech-2.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmdYKDtquMu1mMXCAbPT9GKqYBDrmZbCNvHGMf86z2ChUJ,4294103.932428615,2999743.2255855203,1294360.706843095,4233577.0,60526.93242861517,24,24,20185.740940753007,1505535.4860589798,2975295.0985938674,True,False,False,medium,17.639904166666668,0.004768010819397641,1.32,1.14,9.86,Excellent,0.0,1469759.6125348876,49.40%
0x01f17c392614c7ea586e7272ed348efee21b90a3,oraclegen-indexer.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmVARwoQwcnF8RFRJohirJy6nHKNsRXSNXcGuskefHCZG3,8246479.775079293,3420000.0,4826479.775079293,8246479.0,0.7750792931765318,26,26,932.5563690435876,2431165.0585205154,3116878.280154507,True,False,False,medium,31.71722692307692,0.00011308539911925897,1.57,1.0,10.0,Poor,0.0,685713.2216339917,22.00%
0x0874e792462406dc12ee96b75e52a3bdbba3a123,posthuman-validator.eth,https://ipfs.thegraph.com/ipfs/QmPqzRRSvJ5sahcNuBUVSmYiCokufg3qkwDFFQN4Wxo4AQ,247086.24925669385,247086.24925669385,0.0,237179.00000000003,9907.249256693816,1,1,0.5344264042711303,12341.111543378967,12341.111543378967,True,True,True,small,47.43580000000001,2.253261900383804e-06,1.85,1.0,10.0,Poor,2.7,0.0,0.00%
0x089f78d8cf0a5ae1b7a581b1910a73f8cb3e4774,darksiders-team.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmXhGmdGC5sxb9b3p5JTzFqq9iUC7CKPTa7oPXpQ8CTjnk,29474073.283312097,2356551.4812143072,27117521.80209779,29474071.0,2.2833120971918106,16,16,31374.392536125775,1414395.3491887283,8544950.726432743,True,False,False,large,92.106471875,0.0010644743488649998,2.66,1.03,9.97,Fair,0.0,7130555.377244014,83.45%
0x0b9d582b7fdd387ba13ad7f453d49af255a8ed5e,dapplooker-indexer.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmWNp5bTnYsEdXZiig2AUVDbF7GmeurzjFFjwU8sbLy7ey,2163070.566190362,636120.0241284744,1526950.5420618874,2168764.0,-5693.433809638023,8,8,2807.3977872424075,214470.20227559807,1045436.1355245252,True,True,True,medium,27.10955,0.0012944690096490018,1.49,1.04,10.0,Poor,0.6,830965.9332489271,79.49%
0x0ee85c30ff1797d9f041261b88c4a58d6d68fbbf,0x0ee85c30ff1797d9f041261b88c4a58d6d68fbbf,,486322.6258331361,486322.6258331361,0.0,469200.0,17122.625833136088,1,1,15.20456676936999,25023.020426136733,25023.020426136733,True,True,True,small,93.84,3.240530001997014e-05,2.69,1.0,10.0,Poor,2.7,0.0,0.00%
0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf,a1.protofire.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmUoehEc4z2RTgu86jmtWeNGg9yu6DfbbdRQma8vxPwZvS,31530040.61128854,3234237.441889259,28295803.16939928,31336142.62,193897.99128853902,45,45,40945.21905634423,4992392.542407606,20324081.25697249,True,False,False,large,34.81793624444445,0.0013066451590059882,1.63,1.04,9.96,Fair,0.0,15331688.714564886,75.44%
0x17def1a43a323c711c7a32101ecf41e58eff54a2,rampdefi4.eth,,4778125.319661906,1575336.833854131,3202788.4858077755,4778000.0,125.31966190598905,6,6,1317.5939693277833,1773623.4245011925,1773623.4245011925,True,True,True,medium,79.63333333333334,0.0002757626557822903,2.43,1.01,10.0,Poor,1.2,0.0,0.00%
0x1b7e0068ca1d7929c8c56408d766e1510e54d98d,suntzu-indexer-arb.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmZvsLvd86CExcnEmG2HYfs4hA7vBeCrTAJ4mPQRYpUfjy,56266968.996698305,4983635.290948178,51283333.70575013,56202777.0,64191.99669830501,475,475,695150.284596615,6677601.59583933,18878191.576467782,True,False,False,mega,2.958040894736842,0.012368610978005855,1.05,1.37,9.63,Excellent,0.0,12200589.980628453,64.63%
0x1b92e4cba0f82c85c1298af861247849988c788c,vincenttaglia-indexer.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmXgN5NKFMxY8qGLMdBMWUfQy1SkNW7wzek4tE9AmXvpQu,2836408.7835657536,759898.9774835192,2076509.8060822345,2814378.0,22030.783565753605,12,12,15687.208328202152,393251.9510486799,1491475.944014499,True,False,False,medium,23.45315,0.005573952158594955,1.42,1.17,9.83,Excellent,0.0,1098223.992965819,73.63%
0x2121bc6437100fc21d19a9eea30898419e020afa,pillar-p2p-org.eth,,106035.0638115571,100007.25649032062,6027.807321236488,5.0,106030.0638115571,60,60,0.0,0.0,0.0,True,False,False,small,1.6666666666666667e-05,0.0,1.0,1.0,10.0,Poor,0.0,0.0,0.00%
